pc_time_iso,type,event,raw_line,testId,slot,sf,bw,seq,len,toa_ms,txp_dbm,ack,ack_rssi_dbm,ack_snr_db,ack_pathloss_db,role,state,cmd
2025-12-15T18:50:10,EVENT,ROLE_SET,"LOG,EVENT,ROLE_SET,role,TX",,,,,,,,,,,,,TX,,
2025-12-15T18:50:10,EVENT,STATUS,"LOG,EVENT,STATUS,role,TX,state,0",,,,,,,,,,,,,TX,0,
2025-12-15T18:50:14,EVENT,TRIG_SENT,"LOG,EVENT,TRIG_SENT,testId,22208,sf,12,bw,125000",22208,,12,125000,,,,,,,,,,,
2025-12-15T18:50:14,EVENT,TEST_START,"LOG,EVENT,TEST_START,testId,22208,role,TX",22208,,,,,,,,,,,,TX,,
2025-12-15T18:50:16,CFG,,"LOG,CFG,testId,22208,slot,0,sf,7,bw,125000,txp_dbm,17",22208,0,7,125000,,,,17,,,,,,,
2025-12-15T18:50:17,TX,,"LOG,TX,testId,22208,slot,0,sf,7,bw,125000,seq,0,len,41,toa_ms,87.30,txp_dbm,17,ack,1,ack_rssi_dbm,-25,ack_snr_db,9.00,ack_pathloss_db,42.00",22208,0,7,125000,0,41,87.30,17,1,-25,9.00,42.00,,,
2025-12-15T18:50:26,CFG,,"LOG,CFG,testId,22208,slot,1,sf,7,bw,250000,txp_dbm,17",22208,1,7,250000,,,,17,,,,,,,
2025-12-15T18:50:27,TX,,"LOG,TX,testId,22208,slot,1,sf,7,bw,250000,seq,1,len,41,toa_ms,43.65,txp_dbm,17,ack,1,ack_rssi_dbm,-43,ack_snr_db,8.75,ack_pathloss_db,60.00",22208,1,7,250000,1,41,43.65,17,1,-43,8.75,60.00,,,
2025-12-15T18:50:36,CFG,,"LOG,CFG,testId,22208,slot,2,sf,7,bw,500000,txp_dbm,17",22208,2,7,500000,,,,17,,,,,,,
2025-12-15T18:50:37,TX,,"LOG,TX,testId,22208,slot,2,sf,7,bw,500000,seq,2,len,41,toa_ms,21.82,txp_dbm,17,ack,1,ack_rssi_dbm,-22,ack_snr_db,5.75,ack_pathloss_db,39.00",22208,2,7,500000,2,41,21.82,17,1,-22,5.75,39.00,,,
2025-12-15T18:50:46,CFG,,"LOG,CFG,testId,22208,slot,3,sf,8,bw,125000,txp_dbm,17",22208,3,8,125000,,,,17,,,,,,,
2025-12-15T18:50:47,TX,,"LOG,TX,testId,22208,slot,3,sf,8,bw,125000,seq,3,len,41,toa_ms,154.11,txp_dbm,17,ack,1,ack_rssi_dbm,-43,ack_snr_db,10.00,ack_pathloss_db,60.00",22208,3,8,125000,3,41,154.11,17,1,-43,10.00,60.00,,,
2025-12-15T18:50:56,CFG,,"LOG,CFG,testId,22208,slot,4,sf,8,bw,250000,txp_dbm,17",22208,4,8,250000,,,,17,,,,,,,
2025-12-15T18:50:57,TX,,"LOG,TX,testId,22208,slot,4,sf,8,bw,250000,seq,4,len,41,toa_ms,77.06,txp_dbm,17,ack,1,ack_rssi_dbm,-24,ack_snr_db,12.00,ack_pathloss_db,41.00",22208,4,8,250000,4,41,77.06,17,1,-24,12.00,41.00,,,
2025-12-15T18:51:06,CFG,,"LOG,CFG,testId,22208,slot,5,sf,8,bw,500000,txp_dbm,17",22208,5,8,500000,,,,17,,,,,,,
2025-12-15T18:51:07,TX,,"LOG,TX,testId,22208,slot,5,sf,8,bw,500000,seq,5,len,41,toa_ms,38.53,txp_dbm,17,ack,1,ack_rssi_dbm,-22,ack_snr_db,6.00,ack_pathloss_db,39.00",22208,5,8,500000,5,41,38.53,17,1,-22,6.00,39.00,,,
2025-12-15T18:51:16,CFG,,"LOG,CFG,testId,22208,slot,6,sf,9,bw,125000,txp_dbm,17",22208,6,9,125000,,,,17,,,,,,,
2025-12-15T18:51:17,TX,,"LOG,TX,testId,22208,slot,6,sf,9,bw,125000,seq,6,len,41,toa_ms,287.74,txp_dbm,17,ack,1,ack_rssi_dbm,-23,ack_snr_db,9.25,ack_pathloss_db,40.00",22208,6,9,125000,6,41,287.74,17,1,-23,9.25,40.00,,,
2025-12-15T18:51:26,CFG,,"LOG,CFG,testId,22208,slot,7,sf,9,bw,250000,txp_dbm,17",22208,7,9,250000,,,,17,,,,,,,
2025-12-15T18:51:27,TX,,"LOG,TX,testId,22208,slot,7,sf,9,bw,250000,seq,7,len,41,toa_ms,143.87,txp_dbm,17,ack,1,ack_rssi_dbm,-24,ack_snr_db,9.75,ack_pathloss_db,41.00",22208,7,9,250000,7,41,143.87,17,1,-24,9.75,41.00,,,
2025-12-15T18:51:36,CFG,,"LOG,CFG,testId,22208,slot,8,sf,9,bw,500000,txp_dbm,17",22208,8,9,500000,,,,17,,,,,,,
2025-12-15T18:51:37,TX,,"LOG,TX,testId,22208,slot,8,sf,9,bw,500000,seq,8,len,41,toa_ms,71.94,txp_dbm,17,ack,1,ack_rssi_dbm,-23,ack_snr_db,7.50,ack_pathloss_db,40.00",22208,8,9,500000,8,41,71.94,17,1,-23,7.50,40.00,,,
2025-12-15T18:51:46,CFG,,"LOG,CFG,testId,22208,slot,9,sf,10,bw,125000,txp_dbm,17",22208,9,10,125000,,,,17,,,,,,,
2025-12-15T18:51:47,TX,,"LOG,TX,testId,22208,slot,9,sf,10,bw,125000,seq,9,len,43,toa_ms,534.53,txp_dbm,17,ack,1,ack_rssi_dbm,-23,ack_snr_db,12.75,ack_pathloss_db,40.00",22208,9,10,125000,9,43,534.53,17,1,-23,12.75,40.00,,,
2025-12-15T18:51:56,CFG,,"LOG,CFG,testId,22208,slot,10,sf,10,bw,250000,txp_dbm,17",22208,10,10,250000,,,,17,,,,,,,
2025-12-15T18:51:57,TX,,"LOG,TX,testId,22208,slot,10,sf,10,bw,250000,seq,10,len,44,toa_ms,267.26,txp_dbm,17,ack,1,ack_rssi_dbm,-25,ack_snr_db,10.50,ack_pathloss_db,42.00",22208,10,10,250000,10,44,267.26,17,1,-25,10.50,42.00,,,
2025-12-15T18:52:06,CFG,,"LOG,CFG,testId,22208,slot,11,sf,10,bw,500000,txp_dbm,17",22208,11,10,500000,,,,17,,,,,,,
2025-12-15T18:52:07,TX,,"LOG,TX,testId,22208,slot,11,sf,10,bw,500000,seq,11,len,44,toa_ms,133.63,txp_dbm,17,ack,1,ack_rssi_dbm,-24,ack_snr_db,7.50,ack_pathloss_db,41.00",22208,11,10,500000,11,44,133.63,17,1,-24,7.50,41.00,,,
2025-12-15T18:52:16,CFG,,"LOG,CFG,testId,22208,slot,12,sf,11,bw,125000,txp_dbm,17",22208,12,11,125000,,,,17,,,,,,,
2025-12-15T18:52:18,TX,,"LOG,TX,testId,22208,slot,12,sf,11,bw,125000,seq,12,len,44,toa_ms,1150.98,txp_dbm,17,ack,1,ack_rssi_dbm,-26,ack_snr_db,9.75,ack_pathloss_db,43.00",22208,12,11,125000,12,44,1150.98,17,1,-26,9.75,43.00,,,
2025-12-15T18:52:26,CFG,,"LOG,CFG,testId,22208,slot,13,sf,11,bw,250000,txp_dbm,17",22208,13,11,250000,,,,17,,,,,,,
2025-12-15T18:52:27,TX,,"LOG,TX,testId,22208,slot,13,sf,11,bw,250000,seq,13,len,44,toa_ms,493.57,txp_dbm,17,ack,1,ack_rssi_dbm,-25,ack_snr_db,10.75,ack_pathloss_db,42.00",22208,13,11,250000,13,44,493.57,17,1,-25,10.75,42.00,,,
2025-12-15T18:52:36,CFG,,"LOG,CFG,testId,22208,slot,14,sf,11,bw,500000,txp_dbm,17",22208,14,11,500000,,,,17,,,,,,,
2025-12-15T18:52:37,TX,,"LOG,TX,testId,22208,slot,14,sf,11,bw,500000,seq,14,len,44,toa_ms,246.78,txp_dbm,17,ack,1,ack_rssi_dbm,-23,ack_snr_db,5.75,ack_pathloss_db,40.00",22208,14,11,500000,14,44,246.78,17,1,-23,5.75,40.00,,,
2025-12-15T18:52:46,CFG,,"LOG,CFG,testId,22208,slot,15,sf,12,bw,125000,txp_dbm,17",22208,15,12,125000,,,,17,,,,,,,
2025-12-15T18:52:50,TX,,"LOG,TX,testId,22208,slot,15,sf,12,bw,125000,seq,15,len,44,toa_ms,2138.11,txp_dbm,17,ack,1,ack_rssi_dbm,-24,ack_snr_db,11.25,ack_pathloss_db,41.00",22208,15,12,125000,15,44,2138.11,17,1,-24,11.25,41.00,,,
2025-12-15T18:52:56,CFG,,"LOG,CFG,testId,22208,slot,16,sf,12,bw,250000,txp_dbm,17",22208,16,12,250000,,,,17,,,,,,,
2025-12-15T18:52:58,TX,,"LOG,TX,testId,22208,slot,16,sf,12,bw,250000,seq,16,len,44,toa_ms,987.14,txp_dbm,17,ack,1,ack_rssi_dbm,-13,ack_snr_db,10.75,ack_pathloss_db,30.00",22208,16,12,250000,16,44,987.14,17,1,-13,10.75,30.00,,,
2025-12-15T18:53:06,CFG,,"LOG,CFG,testId,22208,slot,17,sf,12,bw,500000,txp_dbm,17",22208,17,12,500000,,,,17,,,,,,,
2025-12-15T18:53:07,TX,,"LOG,TX,testId,22208,slot,17,sf,12,bw,500000,seq,17,len,44,toa_ms,493.57,txp_dbm,17,ack,1,ack_rssi_dbm,-13,ack_snr_db,5.50,ack_pathloss_db,30.00",22208,17,12,500000,17,44,493.57,17,1,-13,5.50,30.00,,,
2025-12-15T18:53:16,EVENT,TEST_DONE,"LOG,EVENT,TEST_DONE,testId,22208,role,TX",22208,,,,,,,,,,,,TX,,
