nodeId,role,event,seq,idx,tot,bytes,rssi,snr,toa_ms,t_ms,dt_ms
TIM,B404AD08B764,TX,SESSION_START,-1,-1,-1,0,-,-,0,165,92
TIM,B404AD08B764,RX,MSG_RX,0,-1,-1,26,-26,12.2,113,56135,55970
TIM,B404AD08B764,TX,ACK_TX,0,-1,-1,35,-,-,144,56312,177
TIM,B404AD08B764,RX,MSG_RX,1,-1,-1,194,-25,12.2,543,84207,27895
TIM,B404AD08B764,TX,ACK_TX,1,-1,-1,37,-,-,144,84404,197
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,11.8,635,147320,62916
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,147461,141
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,150184,2723
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,150378,194
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,11.8,635,153049,2671
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,153234,185
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,11.8,635,155913,2679
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,156099,186
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,158784,2685
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,158971,187
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,161789,2818
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,161976,187
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,164666,2690
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,164854,188
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,167561,2707
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,167750,189
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,170600,2850
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,170789,189
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,173627,2838
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,173928,301
TIM,B404AD08B764,RX,MSGF_RX,2,1,4,227,-24,12.0,635,174707,779
TIM,B404AD08B764,TX,ACKF_TX,2,1,-1,34,-,-,134,174898,191
TIM,B404AD08B764,RX,MSGF_RX,2,1,4,227,-25,12.0,635,177620,2722
TIM,B404AD08B764,TX,ACKF_TX,2,1,-1,34,-,-,134,177811,191
TIM,B404AD08B764,RX,MSGF_RX,2,1,4,227,-25,12.2,635,180660,2849
TIM,B404AD08B764,TX,ACKF_TX,2,1,-1,34,-,-,134,180955,295
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,11.8,635,181749,794
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,181945,196
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,12.2,635,184682,2737
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,184877,195
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,11.8,635,187633,2756
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,187830,197
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,12.0,635,190594,2764
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,190836,242
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,11.8,635,193486,2650
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,193732,246
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,11.8,635,196382,2650
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,196626,244
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,12.0,635,199290,2664
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,199536,246
TIM,B404AD08B764,RX,MSGF_RX,2,2,4,227,-25,11.8,635,202318,2782
TIM,B404AD08B764,TX,ACKF_TX,2,2,-1,34,-,-,134,202562,244
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,208292,5730
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,208541,249
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.0,635,211217,2676
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,211464,247
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,12.2,635,214148,2684
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,214396,248
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-25,11.8,635,217083,2687
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,217331,248
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-24,12.0,635,220166,2835
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,220415,249
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-24,12.0,635,223113,2698
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,223364,251
TIM,B404AD08B764,RX,MSGF_RX,2,0,4,227,-24,12.0,635,226068,2704
TIM,B404AD08B764,TX,ACKF_TX,2,0,-1,34,-,-,134,226323,255
TIM,B404AD08B764,RX,MSG_RX,3,-1,-1,24,-23,12.8,113,242418,16095
TIM,B404AD08B764,TX,ACK_TX,3,-1,-1,37,-,-,144,242706,288
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,242948,242
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,243091,143
TIM,B404AD08B764,RX,MSG_RX,3,-1,-1,24,-24,12.2,113,245769,2678
TIM,B404AD08B764,TX,ACK_TX,3,-1,-1,37,-,-,144,246057,288
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,246222,165
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,246269,47
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,246541,272
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,246665,124
TIM,B404AD08B764,RX,MSG_RX,3,-1,-1,24,-24,12.5,113,249285,2620
TIM,B404AD08B764,TX,ACK_TX,3,-1,-1,37,-,-,144,249555,270
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,249655,100
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,249703,48
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,249976,273
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,250101,125
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,252950,2849
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,253143,193
TIM,B404AD08B764,TX,ABORT,0,-1,-1,0,-,-,0,253305,162
