,kind,sequence_no,fragment_idx,tx_time_ms,ack_time_ms,rtt_ms
0,MSG,0,,21075,21376,301
1,MSG,1,,35732,36064,332
2,MSG,2,,53416,53738,322
3,MSGF,3,0,73898,74689,791
4,MSGF,3,1,74692,75482,790
5,MSGF,3,2,75485,76275,790
6,MSGF,3,3,76280,77070,790
7,MSGF,3,4,77073,79518,2445
8,MSGF,3,4,78728,79518,790
9,MSGF,3,5,79521,80310,789
10,MSGF,3,6,80313,81102,789
11,MSGF,3,7,81105,81894,789
12,MSGF,3,8,81897,82686,789
13,MSGF,3,9,82689,83478,789
14,MSGF,3,10,83481,84280,799
15,MSGF,3,11,84283,85083,800
16,MSGF,3,12,85086,85886,800
17,MSGF,3,13,85889,86689,800
18,MSGF,3,14,86697,87497,800
19,MSGF,3,15,87500,88300,800
20,MSGF,3,16,88303,89103,800
21,MSGF,3,17,89106,89906,800
22,MSGF,3,18,89909,90709,800
23,MSGF,3,19,90712,91512,800
24,MSGF,3,20,91515,92315,800
25,MSGF,3,21,92318,93118,800
26,MSGF,3,22,93121,93921,800
27,MSGF,3,23,93924,94724,800
28,MSGF,3,24,94727,95527,800
29,MSGF,3,25,95536,96336,800
30,MSGF,3,26,96339,97139,800
31,MSGF,3,27,97142,97942,800
32,MSGF,3,28,97945,98745,800
33,MSGF,3,29,98748,99548,800
34,MSGF,3,30,99551,100351,800
35,MSGF,3,31,100354,101154,800
36,MSGF,3,32,101157,101684,527
