kind,sequence_no,tx_time_ms,ack_time_ms,rtt_ms,fragment_idx
MSG,0,21075,21376,301,
MSG,1,35732,36064,332,
MSG,2,53416,53738,322,
MSGF,3,73898,74689,791,0.0
MSGF,3,74692,75482,790,1.0
MSGF,3,75485,76275,790,2.0
MSGF,3,76280,77070,790,3.0
MSGF,3,77073,79518,2445,4.0
MSGF,3,78728,79518,790,4.0
MSGF,3,79521,80310,789,5.0
MSGF,3,80313,81102,789,6.0
MSGF,3,81105,81894,789,7.0
MSGF,3,81897,82686,789,8.0
MSGF,3,82689,83478,789,9.0
MSGF,3,83481,84280,799,10.0
MSGF,3,84283,85083,800,11.0
MSGF,3,85086,85886,800,12.0
MSGF,3,85889,86689,800,13.0
MSGF,3,86697,87497,800,14.0
MSGF,3,87500,88300,800,15.0
MSGF,3,88303,89103,800,16.0
MSGF,3,89106,89906,800,17.0
MSGF,3,89909,90709,800,18.0
MSGF,3,90712,91512,800,19.0
MSGF,3,91515,92315,800,20.0
MSGF,3,92318,93118,800,21.0
MSGF,3,93121,93921,800,22.0
MSGF,3,93924,94724,800,23.0
MSGF,3,94727,95527,800,24.0
MSGF,3,95536,96336,800,25.0
MSGF,3,96339,97139,800,26.0
MSGF,3,97142,97942,800,27.0
MSGF,3,97945,98745,800,28.0
MSGF,3,98748,99548,800,29.0
MSGF,3,99551,100351,800,30.0
MSGF,3,100354,101154,800,31.0
MSGF,3,101157,101684,527,32.0
