time_ms,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
29007,MSG,0,-1,-1,24
31208,MSG,0,-1,-1,24
33354,MSG,0,-1,-1,24
35590,MSG,1,-1,-1,28
37768,MSG,1,-1,-1,28
40079,MSG,1,-1,-1,28
42331,MSG,2,-1,-1,30
44524,MSG,2,-1,-1,30
46725,MSG,2,-1,-1,30
49162,MSG,3,-1,-1,38
51399,MSG,3,-1,-1,38
53638,MSG,3,-1,-1,38
55964,MSG,4,-1,-1,38
58337,MSG,4,-1,-1,38
60592,MSG,4,-1,-1,38
615251,MSG,5,-1,-1,28
617619,MSG,5,-1,-1,28
619778,MSG,5,-1,-1,28
622015,MSG,6,-1,-1,31
624195,MSG,6,-1,-1,31
626519,MSG,6,-1,-1,31
628787,MSG,7,-1,-1,29
630994,MSG,7,-1,-1,29
633209,MSG,7,-1,-1,29
635566,MSG,8,-1,-1,53
638052,MSG,8,-1,-1,53
640473,MSG,8,-1,-1,53
661860,MSG,9,-1,-1,25
664220,MSG,9,-1,-1,25
666584,MSG,9,-1,-1,25
669052,MSG,10,-1,-1,26
671544,MSG,10,-1,-1,26
673806,MSG,10,-1,-1,26
